Study,DOI,Substance,Abbreviation,CAS,Smiles,Species,Sex,Tissue,Exposure Concentration (ug/L),Exposure (days),Depuration (days),Mixture,PFBS_mixture,PFHxS_mixture,PFOS_mixture,PFBA_mixture,PFPA_mixture,PFHxA_mixture,PFHpA_mixture,PFOA_mixture,PFNA_mixture,PFDA_mixture,PFUnA_mixture,PFDoA_mixture,PFTrDA_mixture,PFTeDA_mixture,PFHxPA_mixture,PFOPA_mixture,PFDPA_mixture,C6/C6_PFPiA_mixture,C6/C8_PFPiA_mixture,C8/C8_PFPiA_mixture,C6/C10_PFPiA_mixture,C8/C10_PFPiA_mixture,C6/C12_PFPiA_mixture,log(BCF) (L/Kg)
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,plasma,2.51,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.6
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,plasma,17.8,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.41
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,liver,2.51,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.24
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,liver,17.8,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.27
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,muscle,2.51,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,NA
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,muscle,17.8,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,0.66
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,ovary,2.51,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.72
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,ovary,17.8,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.82
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,whole body,2.51,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.29
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,whole body,17.8,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.44
