PFAS_name,CAS number,Smiles,Molecular weight (g/mol),half-life (days),±SD,tissue,species,sex,Log P,Log Kow,Log D (pH = 7.4),route of administration,mode of administration,sampling duration (days),subject/animal weight (g),age (years),adult,reference,doi,
PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,300.10 ,26,,whole body,human,male/female,1.94,1.82,-1.56,,,,,,,"Arnot et al., 2014",https://doi.org/10.1021/es4029414,
PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,314.05,20,,whole body,human,male/female,3.9,3.48,0.15,,,,,,,"Arnot et al., 2014",https://doi.org/10.1021/es4029414,
PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,400.12,2660,,whole body,human,male/female,2.96,3.16,-0.54,,,,,,,"Arnot et al., 2014",https://doi.org/10.1021/es4029414,
PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,414.07,1980,,whole body,Human,male/female,5.57,4.81,1.82,,,,,,,"Arnot et al., 2014",https://doi.org/10.1021/es4029414,
PFOS ,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,500.13,1750,,whole body,Human,male/female,4.16,4.49,0.66,,,,,,,"Arnot et al., 2014",https://doi.org/10.1021/es4029414,
PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,414.07,20.1,,blood serum,Monkey,male,5.57,4.81,1.82,oral,repeated,182 d dosing period (daily),,6,TRUE,"Butenhoff et al., 2004",https://doi.org/10.1093/toxsci/kfh302,
PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,414.07,32.6,,blood serum,Monkey,female,5.57,4.81,1.82,intravenous,single,123 d follow-up,,6,TRUE,"Butenhoff et al., 2004",https://doi.org/10.1093/toxsci/kfh302,
PFOA,335-67-1,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,414.07,20.9,,blood serum,Monkey,male,5.57,4.81,1.82,intravenous,single,123 d follow-up,,6,TRUE,"Butenhoff et al., 2004",https://doi.org/10.1093/toxsci/kfh302,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,2.9,,blood serum,human,male,2.62,2.14,-1.13,occupational,continuous,8 d (not exposed to materials during that time) ,,,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,3,,blood serum,human,male/female,2.62,2.14,-1.13,occupational,continuous,8 d (not exposed to materials during that time) ,,,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,1.71,,blood serum,monkey,female,2.62,2.14,-1.13,intravenous,single,31,5000,2.75,FALSE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,1.68,,blood serum,monkey,male,2.62,2.14,-1.13,intravenous,single,31,5000,2.75,FALSE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,214.04,0.55,,blood serum,mouse,male,2.62,2.14,-1.13,oral,single,4,27.5,0.1726027397,TRUE,"Chang et al., 2008",https://doi.org/10.1093/toxsci/kfn057,
