,route.of.administration_intravenous,291,325,600,sex_male,4,species_monkey,848,adult,191,339,sex_male/female,tissue_blood,mode.of.administration_single,164,route.of.administration_oral,route.of.administration_intraperitoneal,species_mouse,18,sex_female,tissue_kidney,species_cattle,species_human,tissue_heart,mode.of.administration_continuous,409,tissue_fat,1272,species_pig,route.of.administration_pollution,mode.of.administration_repeated,species_rat,147,tissue_whole body,tissue_testis,11,tissue_liver,1301
0,False,-14.32328029750538,-3.1790555883949985,1.0663226329348374,True,25.529641001596413,True,0.0026535458521492,1,12.92669593548387,2.896597590874419,False,True,False,63.32258064516129,True,False,False,26.0,False,False,False,False,False,False,0.0036857940828402,False,0.7850883347628149,False,False,True,False,3.2222222222222223,False,False,0.1699376027684819,False,3.2266666666666666
1,True,-14.32328029750538,-3.1790555883949985,1.0663226329348374,False,25.529641001596413,True,0.0026535458521492,1,12.92669593548387,2.896597590874419,False,True,True,63.32258064516129,False,False,False,26.0,True,False,False,False,False,False,0.0036857940828402,False,0.7850883347628149,False,False,False,False,3.2222222222222223,False,False,0.1699376027684819,False,3.2266666666666666
2,True,-14.32328029750538,-3.1790555883949985,1.0663226329348374,True,25.529641001596413,True,0.0026535458521492,1,12.92669593548387,2.896597590874419,False,True,True,63.32258064516129,False,False,False,26.0,False,False,False,False,False,False,0.0036857940828402,False,0.7850883347628149,False,False,False,False,3.2222222222222223,False,False,0.1699376027684819,False,3.2266666666666666
3,False,-31.995762732861788,-1.552668101332694,0.0,True,12.912446215677749,False,0.0,1,13.059580153846154,0.0,False,True,False,62.38461538461539,False,False,False,14.0,False,False,False,True,False,True,0.0279145578231292,False,0.8357523477324162,False,True,False,False,1.8333333333333333,False,False,0.2451571529457792,False,2.0833333333333335
4,False,-31.995762732861788,-1.552668101332694,0.0,False,12.912446215677749,False,0.0,1,13.059580153846154,0.0,True,True,False,62.38461538461539,False,False,False,14.0,False,False,False,True,False,True,0.0279145578231292,False,0.8357523477324162,False,True,False,False,1.8333333333333333,False,False,0.2451571529457792,False,2.0833333333333335
5,True,-31.995762732861788,-1.552668101332694,0.0,False,12.912446215677749,True,0.0,0,13.059580153846154,0.0,False,True,True,62.38461538461539,False,False,False,14.0,True,False,False,False,False,False,0.0279145578231292,False,0.8357523477324162,False,False,False,False,1.8333333333333333,False,False,0.2451571529457792,False,2.0833333333333335
6,True,-31.995762732861788,-1.552668101332694,0.0,True,12.912446215677749,True,0.0,0,13.059580153846154,0.0,False,True,True,62.38461538461539,False,False,False,14.0,False,False,False,False,False,False,0.0279145578231292,False,0.8357523477324162,False,False,False,False,1.8333333333333333,False,False,0.2451571529457792,False,2.0833333333333335
7,False,-31.995762732861788,-1.552668101332694,0.0,True,12.912446215677749,False,0.0,1,13.059580153846154,0.0,False,True,True,62.38461538461539,True,False,True,14.0,False,False,False,False,False,False,0.0279145578231292,False,0.8357523477324162,False,False,False,False,1.8333333333333333,False,False,0.2451571529457792,False,2.0833333333333335
10,False,-31.995762732861788,-1.552668101332694,0.0,False,12.912446215677749,False,0.0,1,13.059580153846154,0.0,False,True,True,62.38461538461539,True,False,True,14.0,True,False,False,False,False,False,0.0279145578231292,False,0.8357523477324162,False,False,False,False,1.8333333333333333,False,False,0.2451571529457792,False,2.0833333333333335
13,False,-31.995762732861788,-1.552668101332694,0.0,True,12.912446215677749,False,0.0,1,13.059580153846154,0.0,False,True,True,62.38461538461539,True,False,False,14.0,False,False,False,False,False,False,0.0279145578231292,False,0.8357523477324162,False,False,False,True,1.8333333333333333,False,False,0.2451571529457792,False,2.0833333333333335
14,True,-31.995762732861788,-1.552668101332694,0.0,True,12.912446215677749,False,0.0,1,13.059580153846154,0.0,False,True,True,62.38461538461539,False,False,False,14.0,False,False,False,False,False,False,0.0279145578231292,False,0.8357523477324162,False,False,False,True,1.8333333333333333,False,False,0.2451571529457792,False,2.0833333333333335
